,endTime,artistName,trackName,msPlayed
89,2020-12-21 00:32,Tippu,Poopol Poopol,116706
90,2020-12-21 00:37,Leslie,Ore Nyabagam - Piano - Film - Minnale,1132
91,2020-12-21 00:37,Bombay Jayashri,Vaseegara,299146
92,2020-12-21 00:37,Bombay Jayashri,Vaseegara,23
93,2020-12-21 00:39,Tippu,Poopol Poopol,116706
94,2020-12-21 00:41,Bombay Jayashri,Vaseegara,70787
95,2020-12-21 02:33,Bombay Jayashri,Vaseegara,19154
96,2020-12-21 02:33,Tippu,Poopol Poopol,116706
97,2020-12-21 02:46,Pritam,Aabaad Barbaad,109620
98,2020-12-22 06:10,Tippu,Poopol Poopol,116706
99,2020-12-22 06:35,Bombay Jayashri,Vaseegara,41948
100,2020-12-23 03:20,Tippu,Poopol Poopol,56906
101,2020-12-23 10:03,Bombay Jayashri,Vaseegara,299146
102,2020-12-23 10:05,Leslie,Ore Nyabagam - Piano - Film - Minnale,115733
103,2020-12-23 10:09,Hariharan,Pachai Nirame,226335
104,2020-12-23 10:11,Hariharan,Pachchadanamey,122093
105,2020-12-23 12:16,Hariharan,Pachchadanamey,361666
106,2020-12-23 12:21,S. Janaki,Septembar Maasam,311133
107,2020-12-23 12:27,Sujatha,Yede Yedeydey,347580
108,2020-12-23 12:39,Clinton Cerejo,Vasanthapu Navvulu,124958
109,2020-12-24 02:42,Benny Dayal,"Daaru Desi (From ""Cocktail"")",516618
110,2020-12-24 02:44,MOHAN KANAN,Yaariyaan,92537
111,2020-12-24 02:49,Neeraj Shridhar,"Tum Hi Ho Bandhu (From ""Cocktail"")",282012
112,2020-12-24 02:54,MOHAN KANAN,Yaariyaan,0
113,2020-12-24 02:54,Benny Dayal,"Daaru Desi (From ""Cocktail"")",269589
114,2020-12-24 03:21,Gita for the Young and Restless,The Internal is Eternal,368409
115,2020-12-24 03:35,Neeraj Shridhar,"Tum Hi Ho Bandhu (From ""Cocktail"")",65132
116,2020-12-24 03:39,Neeraj Shridhar,"Tum Hi Ho Bandhu (From ""Cocktail"")",282012
117,2020-12-24 03:44,Benny Dayal,"Daaru Desi (From ""Cocktail"")",269589
118,2020-12-24 04:06,MOHAN KANAN,Yaariyaan,353634
119,2020-12-24 18:02,Benny Dayal,"Daaru Desi (From ""Cocktail"")",161732
120,2020-12-24 18:08,Neeraj Shridhar,"Tum Hi Ho Bandhu (From ""Cocktail"")",282012
121,2020-12-24 18:12,MOHAN KANAN,Yaariyaan,8042
122,2020-12-24 18:12,Benny Dayal,"Daaru Desi (From ""Cocktail"")",269589
123,2020-12-24 18:13,Neeraj Shridhar,"Tum Hi Ho Bandhu (From ""Cocktail"")",15079
124,2020-12-24 18:16,Pritam,Meri Tum Ho,38508
125,2020-12-24 18:16,Pritam,Hardum Humdum,188000
126,2020-12-24 18:16,Pritam,Hardum Humdum,3351
127,2020-12-24 18:17,Pritam,Aabaad Barbaad,1506
128,2020-12-24 18:17,Pritam,Aabaad Barbaad,33332
129,2020-12-24 18:17,Pritam,Meri Tum Ho,0
130,2020-12-24 18:17,Pritam,Meri Tum Ho,1712
131,2020-12-24 18:29,Pritam,Meri Tum Ho,22955
132,2020-12-24 19:38,Pritam,Meri Tum Ho,270
133,2020-12-24 21:50,S. P. Balasubrahmanyam,Jaruguthunnaadi,563165
134,2020-12-25 03:31,S. P. Balasubrahmanyam,Jaruguthunnaadi,564733
135,2020-12-25 03:34,Hemachandra Vedala,Spicy Spicy Girl,7774
136,2020-12-25 04:11,S. P. Balasubrahmanyam,Jaruguthunnaadi,564733
137,2020-12-25 04:12,Hemachandra Vedala,Spicy Spicy Girl,9677
138,2020-12-25 04:14,S. P. Balasubrahmanyam,Jaruguthunnaadi,134698
139,2020-12-25 08:21,S. P. Balasubrahmanyam,Jaruguthunnaadi,65957
140,2020-12-25 10:00,Sid Sriram,Yaen Ennai Pirindhaai,196860
141,2020-12-25 10:27,Mohit Chauhan,Matargashti,275277
142,2020-12-25 12:43,Bombay Jayashri,Vaseegara,299146
143,2020-12-25 12:45,Leslie,Ore Nyabagam - Piano - Film - Minnale,115733
144,2020-12-25 12:46,Hariharan,Pachai Nirame,42047
